MiniSQL version 1.0 (Mar 30 2018, 02:42:36) by Louis Bethune
minisql>         titre       |         nom        
       Perseus      |    Clark Sanford   
      Scorpius      |    Lillian Berg    
      Scorpius      |     Gemma Wells    
      Scorpius      |    Yoshio Short    
      Scorpius      |   Hyacinth Harris  
      Scorpius      |    Mollie Poole    
      Scorpius      |   Tatyana Becker   
      Scorpius      |     Ray Atkins     
      Scorpius      |      Ray Tran      
      Scorpius      |      Yen Perez     
      Scorpius      |   Honorato Bowman  
      Scorpius      |    Raphael Diaz    
      Scorpius      |Fredericka Alexander
      Scorpius      |     Ivy Carroll    
      Scorpius      |    Deborah Noel    
      Scorpius      |    Deborah Noel    
      Scorpius      |    Giacomo Case    
      Scorpius      |    Giacomo Case    
        Lyra        |     Evan Lynch     
        Lyra        |      Otto Gray     
        Lyra        |     Coby Dennis    
        Lyra        |   Honorato Bowman  
        Lyra        |   Austin Mueller   
        Lyra        |   McKenzie Jensen  
      Ophiuchus     |    Norman Murphy   
      Ophiuchus     |     Evan Lynch     
      Ophiuchus     |  Aidan Livingston  
      Ophiuchus     |    Melinda Lott    
      Ophiuchus     |    Heidi Vinson    
      Ophiuchus     |   Iona Rasmussen   
      Ophiuchus     |      Yuli Pate     
      Ophiuchus     |   Vivian Gregory   
      Ophiuchus     |     Dante Pena     
      Ophiuchus     |     Uta Lindsey    
      Ophiuchus     |  Forrest Harrison  
      Ophiuchus     |     Kenyon Hood    
      Ophiuchus     |   Rebecca Carson   
      Ophiuchus     |   Kenneth Estrada  
     Argo Navis     |   Bruno Shepherd   
     Argo Navis     |    Vernon Nieves   
     Argo Navis     |  Clarke Christian  
     Argo Navis     |   Philip Whitney   
     Argo Navis     |   Keelie Rosales   
     Argo Navis     |    Patrick Carey   
     Argo Navis     |    Iris Mcbride    
minisql> 
